recording_num	first_language	origin_city	origin_country	Age	Gender	Experience	classification	file_name	language_symbol	date_added
42	dutch	schiedam	netherlands	36	male	8	academic	dutch42.mov	nld	3/24/2013 20:14
43	dutch	rotterdam	netherlands	21	male	11	academic	dutch43.mov	nld	11/19/2012 8:16
44	dutch	antwerp	belgium	21	female	12	academic	dutch44.mov	nld	5/19/2013 8:04
45	dutch	sint niklaas	belgium	22	male	2	naturalistic	dutch45.mov	nld	5/19/2013 18:54
46	dutch	hulshout	belgium	22	female	12	academic	dutch46.mov	nld	5/21/2013 15:13
1	ebira	okene	nigeria	35	male	3	naturalistic	ebira1.mov	igb	6/15/2005 17:09
1	edo	benin city	nigeria	25	male	6	academic	edo1.mov	bin	6/15/2005 17:09
1	english	pittsburgh	usa	42	male	0	naturalistic	english1.mov	eng	6/15/2005 17:09
2	english	birmingham	uk	30	female	0	naturalistic	english2.mov	eng	10/2/2012 22:51
3	english	brisbane	australia	26	female	0	naturalistic	english3.mov	eng	6/15/2005 17:09
4	english	saint anne's bay	jamaica	53	female	0	naturalistic	english4.mov	eng	6/15/2005 17:09
5	english	fairfax	usa	62	male	0	naturalistic	english5.mov	eng	6/15/2005 17:09
6	english	brooklyn	usa	45	female	0	naturalistic	english6.mov	eng	6/15/2005 17:09
